feature,coef,odds_ratio,abs_coef
distinct_products,-16.989700622167575,4.18279683379934e-08,16.989700622167575
cart_size,-14.733958446604847,3.9913806728965985e-07,14.733958446604847
Cheddar Sauce,-11.845887899813365,7.16797120246216e-06,11.845887899813365
Mac & cheease,11.589378466821625,107945.14569250037,11.589378466821625
hour,-10.033682869149036,4.3896197052157e-05,10.033682869149036
Pepsi Cola 0.25L Doze,9.763529372652387,17387.891856430233,9.763529372652387
Garlic Sauce,-7.226955403489055,0.0007267300982500886,7.226955403489055
day_of_week,-7.010485575657226,0.0009023703129390117,7.010485575657226
avg_price,6.44995421030805,632.6733222324515,6.44995421030805
Baked potatoes,5.6465906870624405,283.3238775942076,5.6465906870624405
Blueberry Sauce,-4.9308842414184415,0.007220116132171667,4.9308842414184415
Crazy Fries with Parmesan,-4.802877845957859,0.00820609715144424,4.802877845957859
total_value,4.753736248211114,116.01694386150646,4.753736248211114
Crazy Fries with Cheddar Sauce,-4.200185614957399,0.014992793675429664,4.200185614957399
Aqua Carpatica Plata 0.5L,3.045935164633549,21.02968823085633,3.045935164633549
Mac & Cheese with Crispy Bacon,-3.009422670281228,0.04932014452777479,3.009422670281228
Mountain Dew 0.25L Doze,2.949354020219002,19.09361565392884,2.949354020219002
Tomato Sauce,-1.9174447863097488,0.1469820532619846,1.9174447863097488
Aqua Carpatica Minerala 0.5L,1.9118112402492429,6.765331348522647,1.9118112402492429
Pink Sauce,-1.910904073223594,0.14794657158140206,1.910904073223594
Pepsi Cola Can 0.33L,-1.902392625442144,0.14921118531218616,1.902392625442144
Packaging,1.148343462298588,3.1529655749004806,1.148343462298588
Crazy Fries with Cheddar Sauce and bacon,-0.9972520198020796,0.3688917568657115,0.9972520198020796
Spicy Sauce,-0.9357746523272792,0.3922818657394029,0.9357746523272792
is_weekend,-0.9111048807062301,0.4020797283872614,0.9111048807062301
French fries,0.7675889381028237,2.1545651962190417,0.7675889381028237
Mac & Cheese with Jalapeno and Tomato Sauce,-0.7313963812131651,0.4812365310438425,0.7313963812131651
Red Fit Schnitzel,-0.6745714407967871,0.509374671040751,0.6745714407967871
Arugula Salad with Cherry Tomatoes and Parmesan,-0.6005492555468018,0.5485102810267997,0.6005492555468018
Pepsi Twist Zero Can 0.33L,-0.5796075647542897,0.5601181335377904,0.5796075647542897
Pepsi Twist Can 0.33L,-0.5368192525546741,0.5846047783939642,0.5368192525546741
Viennese Schnitzel,0.5351647490982493,1.7077295659857095,0.5351647490982493
7Up Lemon Lime 0.33L,-0.45414841863633454,0.6349884821271845,0.45414841863633454
Margherita Pizza Schnitzel,-0.42916336348652845,0.651053562113198,0.42916336348652845
Mirinda Orange Can 0.33L,-0.42154964054180716,0.6560294219293085,0.42154964054180716
Extra parmezan,-0.3903640682512418,0.6768104244509159,0.3903640682512418
Extra Cheddar Sauce,0.3602798329268401,1.433730563450259,0.3602798329268401
Pepsi Zero Can 0.33L,-0.32307977586602515,0.7239161010303954,0.32307977586602515
Extra bacon,0.3050677032527895,1.356716854041015,0.3050677032527895
Potatoes with Cheddar and Bacon Sauce,-0.3000240405989279,0.7408004111820724,0.3000240405989279
Prigat Still Orange 0.25L,-0.2830952711153621,0.7534480026086652,0.2830952711153621
Breaded Pork Schnitzel,-0.246079425996811,0.7818601224396424,0.246079425996811
Healthy Red Fit Schnitzel,-0.22328005126342357,0.7998908074931843,0.22328005126342357
Crazy peaches,-0.19676768605280937,0.8213814295115297,0.19676768605280937
Extra Lamaie,-0.19258478841249024,0.8248243796889204,0.19258478841249024
Snails with walnuts and meringue,-0.16519053867145003,0.8477321629384148,0.16519053867145003
Breaded Chicken Schnitzel,-0.15259003545314084,0.8584815966971283,0.15259003545314084
Tagliata Schnitzel,-0.15066072559445054,0.8601394724689253,0.15066072559445054
Lipton Lemon Tea 0.33L,-0.14438846904899202,0.8655514427955049,0.14438846904899202
Extra jalapeno,-0.1328667652777961,0.875581742227868,0.1328667652777961
Potatoes with Feta,-0.10378782136919427,0.9014165384587723,0.10378782136919427
French Fries with Parmesan,-0.10378782136919427,0.9014165384587723,0.10378782136919427
Chicken Bao Buns,-0.0973155227072924,0.907269696776125,0.0973155227072924
Crispy Chicken Schnitzel,-0.09388852087797689,0.9103842454204171,0.09388852087797689
Green Fit Schnitzel,-0.09175782054233073,0.9123260694255932,0.09175782054233073
Jalapeno Pizza Schnitzel,-0.08933543247967964,0.9145387561163312,0.08933543247967964
Potatoes with Cheddar Sauce,-0.07718383828884169,0.9257196552451196,0.07718383828884169
Chicken Schnitzel with Feta and Tomato Sauce,-0.07718383828884169,0.9257196552451196,0.07718383828884169
Prigat Still Peach Apricot 0.25L,-0.07249361911346036,0.9300716813232165,0.07249361911346036
Healthy Salad with Chicken and Seeds,-0.06873415955429023,0.9335748290413809,0.06873415955429023
Crazy Pepperoni Schnitzel,0.035267657688789714,1.035896937476884,0.035267657688789714
Fit Schnitzel with seeds,-0.02411889176504129,0.9761696443264404,0.02411889176504129
Healthy Green Fit Schnitzel,-0.002320329701242671,0.9976823601828437,0.002320329701242671
