feature,coef,odds_ratio,abs_coef
distinct_products,-17.11591139410094,3.686838625751704e-08,17.11591139410094
cart_size,-14.859856213599222,3.5192202224607267e-07,14.859856213599222
Cheddar Sauce,-11.807280550337097,7.450119016456686e-06,11.807280550337097
Mac & cheease,11.63503144398275,112987.38383490879,11.63503144398275
hour,-10.380154140678497,3.1042474668613767e-05,10.380154140678497
Pepsi Cola 0.25L Doze,9.684537360958702,16067.234626754309,9.684537360958702
Garlic Sauce,-7.196804507165703,0.0007489753337998968,7.196804507165703
day_of_week,-7.155574574450881,0.0007805009705975492,7.155574574450881
avg_price,6.53467542453391,688.6102420574327,6.53467542453391
Baked potatoes,5.455989004719226,234.15633831313318,5.455989004719226
Blueberry Sauce,-4.90523958924935,0.00740766807265353,4.90523958924935
total_value,4.8146411522993535,123.3025575310367,4.8146411522993535
Crazy Fries with Parmesan,-4.77089514764494,0.00847279236423029,4.77089514764494
Crazy Fries with Cheddar Sauce,-4.194165526467946,0.01508332384646817,4.194165526467946
Aqua Carpatica Plata 0.5L,3.0152789586314137,20.394779446845835,3.0152789586314137
Mac & Cheese with Crispy Bacon,-2.9767865126830073,0.05095631852958036,2.9767865126830073
Mountain Dew 0.25L Doze,2.9210995179104686,18.561685149149458,2.9210995179104686
Pink Sauce,-1.9111918036400068,0.14790400897632577,1.9111918036400068
Tomato Sauce,-1.9012711403046116,0.14937861730756588,1.9012711403046116
Aqua Carpatica Minerala 0.5L,1.888416722603158,6.608896676460669,1.888416722603158
Pepsi Cola Can 0.33L,-1.883543635596341,0.15205033895972914,1.883543635596341
Packaging,1.1361509316103564,3.1147563522697417,1.1361509316103564
Crazy Fries with Cheddar Sauce and bacon,-0.9834980734804365,0.37400052662497185,0.9834980734804365
Spicy Sauce,-0.9357726849141216,0.3922826375206662,0.9357726849141216
is_weekend,-0.9166963329433746,0.3998377924703097,0.9166963329433746
French fries,0.7521775797142548,2.1216149758010614,0.7521775797142548
Mac & Cheese with Jalapeno and Tomato Sauce,-0.7225285057613783,0.48552305475247237,0.7225285057613783
Red Fit Schnitzel,-0.6767884813899534,0.5082466176500592,0.6767884813899534
Arugula Salad with Cherry Tomatoes and Parmesan,-0.6003588266384454,0.5486147431868297,0.6003588266384454
Pepsi Twist Zero Can 0.33L,-0.5699290574527389,0.565565559937834,0.5699290574527389
Pepsi Twist Can 0.33L,-0.5360834939299876,0.585035064675711,0.5360834939299876
Viennese Schnitzel,0.5310215740058574,1.7006687805190073,0.5310215740058574
7Up Lemon Lime 0.33L,-0.44869217609510176,0.6384626024993656,0.44869217609510176
Margherita Pizza Schnitzel,-0.42185785098150613,0.655827257968842,0.42185785098150613
Mirinda Orange Can 0.33L,-0.42167097628457473,0.6559498269410774,0.42167097628457473
Extra parmezan,-0.39788464612751223,0.6717395109468162,0.39788464612751223
Extra Cheddar Sauce,0.35445430642642145,1.425402608970147,0.35445430642642145
Pepsi Zero Can 0.33L,-0.31982464191968085,0.7262763843402176,0.31982464191968085
Potatoes with Cheddar and Bacon Sauce,-0.2950432490652929,0.7444993878669767,0.2950432490652929
Extra bacon,0.2910898468878838,1.3378847833343137,0.2910898468878838
Prigat Still Orange 0.25L,-0.2808490904238775,0.7551422850841027,0.2808490904238775
Breaded Pork Schnitzel,-0.2361689727709929,0.7896472337780456,0.2361689727709929
Healthy Red Fit Schnitzel,-0.22687543795821616,0.7970200545525712,0.22687543795821616
Extra Lamaie,-0.1955985420862073,0.8223423042451193,0.1955985420862073
Crazy peaches,-0.19518796771686742,0.822680006239214,0.19518796771686742
Snails with walnuts and meringue,-0.16457206497734475,0.8482566251471614,0.16457206497734475
Tagliata Schnitzel,-0.15342847670420473,0.857762111978161,0.15342847670420473
Lipton Lemon Tea 0.33L,-0.14423916160682582,0.8656806857157168,0.14423916160682582
Breaded Chicken Schnitzel,-0.13877757523269638,0.8704216102528772,0.13877757523269638
Extra jalapeno,-0.13233124518417536,0.8760507594172943,0.13233124518417536
Potatoes with Feta,-0.1055389374648787,0.8998394346982544,0.1055389374648787
French Fries with Parmesan,-0.1055389374648787,0.8998394346982544,0.1055389374648787
Chicken Bao Buns,-0.09609655733157585,0.9083763014422952,0.09609655733157585
Green Fit Schnitzel,-0.09287083241411494,0.9113112045624723,0.09287083241411494
Crispy Chicken Schnitzel,-0.09169863197374994,0.9123800702978229,0.09169863197374994
Jalapeno Pizza Schnitzel,-0.08821607108579876,0.9155630286517535,0.08821607108579876
Potatoes with Cheddar Sauce,-0.07582225067930952,0.9269809621526667,0.07582225067930952
Chicken Schnitzel with Feta and Tomato Sauce,-0.07582225067930952,0.9269809621526667,0.07582225067930952
Prigat Still Peach Apricot 0.25L,-0.0710599289657072,0.9314060722524317,0.0710599289657072
Healthy Salad with Chicken and Seeds,-0.06852438164552102,0.9337706929599401,0.06852438164552102
Crazy Pepperoni Schnitzel,0.039051476726418316,1.0398240090085258,0.039051476726418316
Fit Schnitzel with seeds,-0.024118755696956956,0.9761697771519828,0.024118755696956956
Healthy Green Fit Schnitzel,-0.001547509621001642,0.9984536871545917,0.001547509621001642
