feature,coef,odds_ratio,abs_coef
Cheddar Sauce,-2.2012272921860276,0.11066725392617367,2.2012272921860276
Garlic Sauce,-1.692277798578035,0.18409970399782732,1.692277798578035
Blueberry Sauce,-1.5121804107259857,0.2204288282166114,1.5121804107259857
Baked potatoes,1.3274827363402097,3.7715374739182663,1.3274827363402097
Mac & cheease,1.1281470378189271,3.089925676843508,1.1281470378189271
Pepsi Cola 0.25L Doze,1.1215464523394003,3.0695975209576454,1.1215464523394003
Mountain Dew 0.25L Doze,0.843164443224068,2.3237085985113914,0.843164443224068
Aqua Carpatica Plata 0.5L,0.8046312055844063,2.235871769728933,0.8046312055844063
Crazy Fries with Parmesan,-0.7957619228124659,0.45123729592214723,0.7957619228124659
Tomato Sauce,-0.7389003772995302,0.4776388493749478,0.7389003772995302
Pink Sauce,-0.7060921889628171,0.4935692089229541,0.7060921889628171
Aqua Carpatica Minerala 0.5L,0.6843541517441434,1.9824910336035289,0.6843541517441434
French fries,0.6729343634637394,1.9599801849339376,0.6729343634637394
Crazy Fries with Cheddar Sauce,-0.5937016320401275,0.5522791621333659,0.5937016320401275
Mac & Cheese with Crispy Bacon,-0.5887109861762138,0.5550422809884588,0.5887109861762138
Spicy Sauce,-0.5508657344215223,0.5764505412185824,0.5508657344215223
total_value,0.49130570741006774,1.6344489393901322,0.49130570741006774
avg_price,0.35245820949044643,1.4225602049905617,0.35245820949044643
Packaging,0.3352969767744776,1.3983556027009045,0.3352969767744776
cart_size,-0.2925980293995255,0.7463220799444258,0.2925980293995255
Crazy Fries with Cheddar Sauce and bacon,-0.2775327733198066,0.7576507334662876,0.2775327733198066
Breaded Chicken Schnitzel,-0.26086094267318904,0.7703880402684375,0.26086094267318904
Extra bacon,0.25647418167985353,1.292365398665331,0.25647418167985353
Red Fit Schnitzel,-0.2541388865441027,0.7755840763737973,0.2541388865441027
Pepsi Cola Can 0.33L,-0.2050804722265365,0.8145817625656883,0.2050804722265365
distinct_products,-0.18985348995303172,0.8270803006407698,0.18985348995303172
Mac & Cheese with Jalapeno and Tomato Sauce,-0.11581937331019011,0.890636081416612,0.11581937331019011
Breaded Pork Schnitzel,-0.10471463484692321,0.9005814804931447,0.10471463484692321
Arugula Salad with Cherry Tomatoes and Parmesan,-0.1034431561147749,0.9017272789669901,0.1034431561147749
Extra jalapeno,0.09602573652413124,1.1007873940707493,0.09602573652413124
Healthy Red Fit Schnitzel,-0.09350168427855923,0.9107364834909751,0.09350168427855923
Viennese Schnitzel,0.0902054221711111,1.094399074449854,0.0902054221711111
Extra parmezan,0.09018948147931061,1.094381629110547,0.09018948147931061
Prigat Still Orange 0.25L,-0.08982890639060309,0.9140875664339839,0.08982890639060309
7Up Lemon Lime 0.33L,-0.0854480877299101,0.9181008025139227,0.0854480877299101
Extra Cheddar Sauce,0.08046503729548561,1.083790953716965,0.08046503729548561
Potatoes with Cheddar and Bacon Sauce,-0.07725498230036842,0.9256537981779921,0.07725498230036842
Pepsi Twist Zero Can 0.33L,-0.07523297200646786,0.9275273732421826,0.07523297200646786
Pepsi Twist Can 0.33L,-0.068433289876925,0.9338557556580219,0.068433289876925
Crazy Pepperoni Schnitzel,0.0649990458920232,1.0671580061997408,0.0649990458920232
Green Fit Schnitzel,-0.05955820566469583,0.942180691741766,0.05955820566469583
Snails with walnuts and meringue,-0.049213107952323525,0.9519782339478305,0.049213107952323525
Crazy peaches,-0.04632741587814649,0.9547293174732125,0.04632741587814649
French Fries with Parmesan,-0.04511501767607254,0.9558875315476426,0.04511501767607254
Potatoes with Feta,-0.04511501767607254,0.9558875315476426,0.04511501767607254
Pepsi Zero Can 0.33L,0.039941726635941525,1.0407501244143782,0.039941726635941525
Healthy Green Fit Schnitzel,0.03732403452506155,1.0380293236872484,0.03732403452506155
Tagliata Schnitzel,-0.034487998200311655,0.9660999345548053,0.034487998200311655
day_of_week,-0.03271119180201783,0.9678180330120705,0.03271119180201783
is_weekend,-0.03253127488710212,0.9679921755118907,0.03253127488710212
Extra Lamaie,0.028307241590802622,1.0287116988913896,0.028307241590802622
Chicken Schnitzel with Feta and Tomato Sauce,-0.026991110719426756,0.9733698940439691,0.026991110719426756
Potatoes with Cheddar Sauce,-0.026991110719426756,0.9733698940439691,0.026991110719426756
Jalapeno Pizza Schnitzel,-0.022728519845218693,0.977527827159736,0.022728519845218693
Margherita Pizza Schnitzel,-0.021064597550042828,0.9791557114664127,0.021064597550042828
Mirinda Orange Can 0.33L,-0.019065235942904032,0.9811153561697231,0.019065235942904032
Healthy Salad with Chicken and Seeds,-0.018215442470674123,0.9819494559509799,0.018215442470674123
Lipton Lemon Tea 0.33L,-0.016527821673227673,0.9836080133892575,0.016527821673227673
Chicken Bao Buns,-0.01536201765499545,0.9847553762337911,0.01536201765499545
hour,0.009072893441699537,1.009114176898414,0.009072893441699537
Prigat Still Peach Apricot 0.25L,0.008779191138762318,1.0088178412600923,0.008779191138762318
Crispy Chicken Schnitzel,0.0019387599063098522,1.001940640516451,0.0019387599063098522
Fit Schnitzel with seeds,0.001252524862812579,1.0012533095996785,0.001252524862812579
