feature,coef,odds_ratio,abs_coef
Healthy Salad with Chicken and Seeds,-11.853985977580209,7.110158814778675e-06,11.853985977580209
Red Fit Schnitzel,-11.301694857734109,1.2351971676251017e-05,11.301694857734109
Fit Schnitzel with seeds,9.04714247556708,8494.230740043653,9.04714247556708
Crazy Pepperoni Schnitzel,7.602413681727981,2003.0247293151665,7.602413681727981
Healthy Green Fit Schnitzel,7.055865093706403,1159.640234943669,7.055865093706403
Pepsi Cola 0.25L Doze,6.545952151029096,696.4194598711406,6.545952151029096
Mountain Dew 0.25L Doze,6.221658587767071,503.5377012802922,6.221658587767071
Mac & cheease,6.190151944413731,487.9202373368026,6.190151944413731
Margherita Pizza Schnitzel,5.977352588639358,394.39485938875197,5.977352588639358
Potatoes with Feta,-5.636510843279871,0.0035652865727628315,5.636510843279871
French Fries with Parmesan,-5.636510830870436,0.003565286617006025,5.636510830870436
Cheddar Sauce,-5.420051816940916,0.004426917252578567,5.420051816940916
Aqua Carpatica Minerala 0.5L,5.417840062080561,225.39176414150722,5.417840062080561
Pink Sauce,-5.393619920461712,0.004545489208726029,5.393619920461712
Garlic Sauce,-5.390526355078997,0.004559572749735323,5.390526355078997
Baked potatoes,5.219859650573618,184.90823048535864,5.219859650573618
Pepsi Zero Can 0.33L,5.115005103548996,166.5016307303806,5.115005103548996
French fries,5.083960761844282,161.4121064237828,5.083960761844282
Blueberry Sauce,-5.059676298429826,0.006347613912975398,5.059676298429826
Tomato Sauce,-4.981111807213143,0.00686642417215402,4.981111807213143
Prigat Still Peach Apricot 0.25L,4.855575785335304,128.45463221908796,4.855575785335304
Aqua Carpatica Plata 0.5L,4.766176850388238,117.46927974106362,4.766176850388238
Viennese Schnitzel,4.684881300714724,108.29741671926249,4.684881300714724
Tagliata Schnitzel,4.263260426608051,71.04123098639583,4.263260426608051
Jalapeno Pizza Schnitzel,4.036950972880652,56.653341621838436,4.036950972880652
Mac & Cheese with Jalapeno and Tomato Sauce,3.789309706529419,44.22586091361533,3.789309706529419
Green Fit Schnitzel,3.7751444135371326,43.60380484075032,3.7751444135371326
Extra parmezan,3.227944590026128,25.227750274933303,3.227944590026128
Lipton Lemon Tea 0.33L,2.9832976313839246,19.75284697090299,2.9832976313839246
Spicy Sauce,-2.976915185027526,0.05094976228242,2.976915185027526
7Up Lemon Lime 0.33L,-2.8857586103175916,0.055812433584717644,2.8857586103175916
Potatoes with Cheddar and Bacon Sauce,2.812813326633413,16.65671313792219,2.812813326633413
Pepsi Twist Zero Can 0.33L,2.7544867264182145,15.712973778328061,2.7544867264182145
Mirinda Orange Can 0.33L,2.724194808852681,15.244134541714951,2.724194808852681
Chicken Bao Buns,2.533710426012874,12.600171513065884,2.533710426012874
Crispy Chicken Schnitzel,2.473213099908297,11.860494647492088,2.473213099908297
Pepsi Cola Can 0.33L,2.3605467352049994,10.596743481656128,2.3605467352049994
Crazy Fries with Parmesan,2.2934768130076555,9.909330747437023,2.2934768130076555
Mac & Cheese with Crispy Bacon,1.9670284239373383,7.1493999058888,1.9670284239373383
Extra bacon,1.923406169352568,6.844231422292573,1.923406169352568
Extra Cheddar Sauce,1.859680588096217,6.42168528109023,1.859680588096217
Extra Lamaie,1.6551039134446368,5.233623737793229,1.6551039134446368
Snails with walnuts and meringue,1.6230395499705725,5.068472803162166,1.6230395499705725
Chicken Schnitzel with Feta and Tomato Sauce,-1.5946296346303812,0.2029836927129528,1.5946296346303812
Potatoes with Cheddar Sauce,-1.5946295827706993,0.2029837032396228,1.5946295827706993
Extra jalapeno,1.4835716017275726,4.408663585641116,1.4835716017275726
Breaded Chicken Schnitzel,1.4659243354639537,4.331545191277245,1.4659243354639537
Pepsi Twist Can 0.33L,1.432770799237702,4.190293583907219,1.432770799237702
Breaded Pork Schnitzel,1.1554536027870146,3.1754634899815875,1.1554536027870146
Packaging,1.0137773639798873,2.75599176185559,1.0137773639798873
Healthy Red Fit Schnitzel,0.9486139325336457,2.5821281739431994,0.9486139325336457
Crazy Fries with Cheddar Sauce,0.9333497854267087,2.543013475358947,0.9333497854267087
cart_size,-0.9115373481571805,0.4019058795867303,0.9115373481571805
Crazy peaches,0.6812182283719556,1.9762838313781754,0.6812182283719556
Arugula Salad with Cherry Tomatoes and Parmesan,0.6423788618504387,1.900997715653595,0.6423788618504387
is_weekend,0.36118719636669705,1.4350320685259055,0.36118719636669705
Prigat Still Orange 0.25L,-0.35895207985282596,0.6984078183551384,0.35895207985282596
distinct_products,-0.2245753677934011,0.7988553664647771,0.2245753677934011
day_of_week,-0.20810268402599702,0.812123640305279,0.20810268402599702
Crazy Fries with Cheddar Sauce and bacon,0.08843870185340189,1.092467284338236,0.08843870185340189
total_value,-0.05255806444051837,0.9487992279600062,0.05255806444051837
hour,-0.021663953820397628,0.9785690241860046,0.021663953820397628
avg_price,0.014949169240060692,1.0150614669586053,0.014949169240060692
