feature,coef,odds_ratio,abs_coef
Healthy Salad with Chicken and Seeds,-12.313801877335658,4.489353391710039e-06,12.313801877335658
cart_size,11.103644002953072,66412.72794096675,11.103644002953072
Garlic Sauce,-10.74196077192644,2.1618507705639088e-05,10.74196077192644
Red Fit Schnitzel,-10.52266791383273,2.691927692114827e-05,10.52266791383273
Pink Sauce,-10.422841720114599,2.974523163145756e-05,10.422841720114599
Cheddar Sauce,-10.407912585353266,3.019263355511673e-05,10.407912585353266
total_value,-10.243224228899914,3.559788866955782e-05,10.243224228899914
Tomato Sauce,-9.962024267519503,4.715718061309702e-05,9.962024267519503
Crazy Pepperoni Schnitzel,9.929787576506952,20532.978431151314,9.929787576506952
Blueberry Sauce,-9.733705595388422,5.925232161219931e-05,9.733705595388422
Fit Schnitzel with seeds,9.074457188068731,8729.446005100932,9.074457188068731
Healthy Green Fit Schnitzel,8.637445965484778,5638.909447847022,8.637445965484778
Margherita Pizza Schnitzel,7.644071778682882,2088.229336966349,7.644071778682882
Spicy Sauce,-7.595625383315171,0.0005026455122591347,7.595625383315171
French Fries with Parmesan,-7.0053470342408755,0.0009070191139640931,7.0053470342408755
Potatoes with Feta,-7.005347033776064,0.0009070191143856858,7.005347033776064
Tagliata Schnitzel,6.426354464890446,617.9171981409835,6.426354464890446
7Up Lemon Lime 0.33L,-6.331755385613274,0.0017789083566154477,6.331755385613274
Viennese Schnitzel,6.198206861388501,491.866265467958,6.198206861388501
Mac & cheease,5.638192327198533,280.95438556267806,5.638192327198533
Prigat Still Orange 0.25L,-4.728412083304825,0.008840497874225164,4.728412083304825
Healthy Red Fit Schnitzel,4.700482249588015,110.00020721771106,4.700482249588015
Packaging,-4.286431889645904,0.013753913328597432,4.286431889645904
Jalapeno Pizza Schnitzel,4.268014957311439,71.37980293789596,4.268014957311439
Extra jalapeno,-3.581994706779374,0.02782014983078518,3.581994706779374
Extra bacon,-3.3463600504111937,0.035212292083775465,3.3463600504111937
Extra Lamaie,-3.217770574160559,0.0400442344688917,3.217770574160559
Green Fit Schnitzel,3.172836508825655,23.875110361460383,3.172836508825655
Extra Cheddar Sauce,-3.155505198972725,0.042616865556570994,3.155505198972725
Pepsi Cola 0.25L Doze,2.9909303837442724,19.90419241663013,2.9909303837442724
Arugula Salad with Cherry Tomatoes and Parmesan,-2.9067227431567257,0.05465455369344348,2.9067227431567257
Potatoes with Cheddar Sauce,-2.7625435539825185,0.06313098689501978,2.7625435539825185
Chicken Schnitzel with Feta and Tomato Sauce,-2.7625435534460205,0.06313098692888942,2.7625435534460205
Pepsi Twist Can 0.33L,-2.6226517909701843,0.07261006060176878,2.6226517909701843
Crazy Fries with Cheddar Sauce,-2.4914236668039056,0.08279201439027412,2.4914236668039056
Crazy peaches,-2.324222982978801,0.09785945297806012,2.324222982978801
Mac & Cheese with Jalapeno and Tomato Sauce,2.2500142933216623,9.487871448587853,2.2500142933216623
Chicken Bao Buns,2.193560901416284,8.96708724437005,2.193560901416284
Mountain Dew 0.25L Doze,2.1584205221496355,8.65745259906362,2.1584205221496355
Pepsi Cola Can 0.33L,-2.154912023425987,0.11591338782705748,2.154912023425987
Crispy Chicken Schnitzel,2.0626634339997474,7.8668948869825615,2.0626634339997474
French fries,1.9818403687334436,7.256084575852836,1.9818403687334436
Baked potatoes,1.9557781615869068,7.069418033420052,1.9557781615869068
Potatoes with Cheddar and Bacon Sauce,1.909100744203044,6.747018773943298,1.909100744203044
Extra parmezan,-1.8009112556983315,0.16514832727794432,1.8009112556983315
Crazy Fries with Cheddar Sauce and bacon,-1.7686474638358056,0.17056352622269008,1.7686474638358056
Aqua Carpatica Minerala 0.5L,1.7679308083891019,5.858718000381854,1.7679308083891019
avg_price,1.6377294880275988,5.143477916114612,1.6377294880275988
distinct_products,1.206041461314961,3.3402359937869086,1.206041461314961
Pepsi Twist Zero Can 0.33L,-1.0329921607613604,0.35594033490372523,1.0329921607613604
Snails with walnuts and meringue,-1.020886273915199,0.36027549586214,1.020886273915199
Pepsi Zero Can 0.33L,1.00242493216691,2.7248814761185627,1.00242493216691
Aqua Carpatica Plata 0.5L,0.864294138651499,2.373330252501185,0.864294138651499
Mirinda Orange Can 0.33L,-0.8212828780821861,0.439866996660761,0.8212828780821861
Lipton Lemon Tea 0.33L,-0.6828467332635859,0.505176839759259,0.6828467332635859
Breaded Pork Schnitzel,-0.6709868236974962,0.5112038607101151,0.6709868236974962
Prigat Still Peach Apricot 0.25L,0.5059710590222859,1.6585953326851353,0.5059710590222859
day_of_week,-0.2807504316689385,0.7552167901569794,0.2807504316689385
Breaded Chicken Schnitzel,-0.2140004644872986,0.8073480100196981,0.2140004644872986
Crazy Fries with Parmesan,0.17909647786251268,1.196136139259248,0.17909647786251268
hour,0.17365764606974524,1.189648215353178,0.17365764606974524
Mac & Cheese with Crispy Bacon,0.10890199422095284,1.1150530633420048,0.10890199422095284
is_weekend,-0.002698000323876603,0.9973056360079873,0.002698000323876603
