feature,coef,odds_ratio,abs_coef
Garlic Sauce,-7.268251831370268,0.000697329979221972,7.268251831370268
Cheddar Sauce,-7.235200018154331,0.0007207631201417137,7.235200018154331
Pink Sauce,-7.125797151347614,0.0008040917717371017,7.125797151347614
Blueberry Sauce,-6.97575565835004,0.0009342601191488443,6.97575565835004
Tomato Sauce,-6.701323160031544,0.0012292842862774557,6.701323160031544
Spicy Sauce,-5.137280433923272,0.005873641769070987,5.137280433923272
Pepsi Cola 0.25L Doze,3.2763457135172684,26.478834440887965,3.2763457135172684
Mountain Dew 0.25L Doze,2.9958037646027162,20.001429872085424,2.9958037646027162
Prigat Still Orange 0.25L,-2.9919436142461815,0.05018979226748869,2.9919436142461815
Crazy Fries with Cheddar Sauce and bacon,-2.915893929699208,0.05415559809086426,2.915893929699208
Red Fit Schnitzel,-2.7408325726884457,0.06451660975900102,2.7408325726884457
Arugula Salad with Cherry Tomatoes and Parmesan,-2.657863036406745,0.07009785837500787,2.657863036406745
7Up Lemon Lime 0.33L,-2.641567511374177,0.07124949757948944,2.641567511374177
cart_size,2.4437269963409953,11.515880505894676,2.4437269963409953
Crazy Pepperoni Schnitzel,2.3739369172776077,10.739590042659044,2.3739369172776077
Aqua Carpatica Minerala 0.5L,2.2729443241047247,9.70794210399415,2.2729443241047247
French Fries with Parmesan,-2.2453951841861466,0.10588568775500352,2.2453951841861466
Potatoes with Feta,-2.2453951841861457,0.10588568775500362,2.2453951841861457
Crazy peaches,-2.215964324643047,0.10904830556061722,2.215964324643047
French fries,2.176800100553243,8.818044210189917,2.176800100553243
Baked potatoes,2.138195770996632,8.484116522552133,2.138195770996632
Mac & cheease,2.0667534316441514,7.8991363573632345,2.0667534316441514
Healthy Green Fit Schnitzel,2.0572084609390817,7.8240980213021825,2.0572084609390817
total_value,-2.0515556724618706,0.1285347899394153,2.0515556724618706
Crazy Fries with Cheddar Sauce,-1.9822479569346183,0.13775921220352175,1.9822479569346183
Aqua Carpatica Plata 0.5L,1.9418745339658652,6.971807619434266,1.9418745339658652
Pepsi Zero Can 0.33L,1.8517528465440556,6.370977086164433,1.8517528465440556
Breaded Pork Schnitzel,-1.8412962328433196,0.15861169510955336,1.8412962328433196
Healthy Salad with Chicken and Seeds,-1.7296625716254903,0.17734424085391115,1.7296625716254903
Mac & Cheese with Crispy Bacon,-1.6518442010930263,0.1916960563570158,1.6518442010930263
Breaded Chicken Schnitzel,-1.601984703655588,0.2014962106145038,1.601984703655588
distinct_products,1.5999993580445326,4.9530292447698905,1.5999993580445326
Extra jalapeno,-1.5411292480978716,0.21413914861406036,1.5411292480978716
Snails with walnuts and meringue,-1.5163324541916985,0.21951549555133582,1.5163324541916985
Margherita Pizza Schnitzel,1.4257736274879502,4.161075720432973,1.4257736274879502
Crazy Fries with Parmesan,-1.4179604421742762,0.24220750969426508,1.4179604421742762
Healthy Red Fit Schnitzel,-1.3477056668258407,0.2598357270138807,1.3477056668258407
Packaging,-1.2760578376101326,0.27913553192315077,1.2760578376101326
Potatoes with Cheddar and Bacon Sauce,-1.1960434359280672,0.3023882667292387,1.1960434359280672
avg_price,1.1426569782702158,3.135087167332818,1.1426569782702158
Pepsi Twist Can 0.33L,-1.1370546250960842,0.3207623973522707,1.1370546250960842
Extra bacon,-0.9548448116411753,0.3848718675521848,0.9548448116411753
Viennese Schnitzel,0.9096733432438289,2.4835111451747136,0.9096733432438289
Crispy Chicken Schnitzel,-0.909636447308223,0.40267058940293876,0.909636447308223
Green Fit Schnitzel,-0.88385816396819,0.4131856943415775,0.88385816396819
Chicken Bao Buns,-0.7813550088063657,0.45778528776092164,0.7813550088063657
Jalapeno Pizza Schnitzel,0.7600047600493792,2.1382863988214393,0.7600047600493792
Prigat Still Peach Apricot 0.25L,0.6533921934396189,1.9220497475613003,0.6533921934396189
Extra Cheddar Sauce,-0.6264167381260288,0.5345036401663894,0.6264167381260288
Tagliata Schnitzel,-0.5910393582684647,0.5537514393943294,0.5910393582684647
Potatoes with Cheddar Sauce,-0.4893152980273359,0.6130460043225715,0.4893152980273359
Chicken Schnitzel with Feta and Tomato Sauce,-0.4893152980273322,0.6130460043225738,0.4893152980273322
Pepsi Cola Can 0.33L,-0.4391175841551824,0.6446049798414806,0.4391175841551824
Extra Lamaie,-0.43231036063945816,0.6490079189117559,0.43231036063945816
Mirinda Orange Can 0.33L,0.3141144237605447,1.369046379020442,0.3141144237605447
Lipton Lemon Tea 0.33L,0.29975108905812436,1.3495228547617104,0.29975108905812436
Extra parmezan,-0.22460398721034808,0.7988325040171204,0.22460398721034808
day_of_week,-0.20892487451140948,0.8114561943966786,0.20892487451140948
Pepsi Twist Zero Can 0.33L,-0.16784146498286293,0.8454878634931764,0.16784146498286293
hour,0.13042115895117665,1.1393081121060573,0.13042115895117665
is_weekend,-0.005619688288791077,0.9943960726218178,0.005619688288791077
Mac & Cheese with Jalapeno and Tomato Sauce,0.004343299758518141,1.004352745555272,0.004343299758518141
Fit Schnitzel with seeds,0.003391755865919819,1.003397514378496,0.003391755865919819
