feature,coef,odds_ratio,abs_coef
French Fries with Parmesan,-14.577568066687869,4.6670518847404473e-07,14.577568066687869
Healthy Salad with Chicken and Seeds,-11.098677046440386,1.5132329953121247e-05,11.098677046440386
Red Fit Schnitzel,-10.168113227035938,3.83746594241912e-05,10.168113227035938
Pink Sauce,-8.057266598467422,0.00031679154141244956,8.057266598467422
Garlic Sauce,-7.761912344311733,0.00042564182816135616,7.761912344311733
Cheddar Sauce,-7.707971062847973,0.0004492320166365397,7.707971062847973
Blueberry Sauce,-7.420038919948217,0.0005991258271143587,7.420038919948217
Tomato Sauce,-7.227472326414724,0.0007263545318793256,7.227472326414724
Chicken Schnitzel with Feta and Tomato Sauce,-6.673863007913499,0.0012635083684693748,6.673863007913499
Spicy Sauce,-5.414129611853052,0.004453212149489177,5.414129611853052
7Up Lemon Lime 0.33L,-5.318757671285839,0.004898835910938369,5.318757671285839
Fit Schnitzel with seeds,5.016593107848351,150.8963395234472,5.016593107848351
Healthy Red Fit Schnitzel,-3.9031189968965,0.02017887534263278,3.9031189968965
Pepsi Cola 0.25L Doze,3.609830660357113,36.95979352662768,3.609830660357113
Mountain Dew 0.25L Doze,3.574022671808012,35.65975249810072,3.574022671808012
Prigat Still Orange 0.25L,-3.3032029627552677,0.03676522097958942,3.3032029627552677
Crazy Fries with Cheddar Sauce and bacon,-3.2032541155965815,0.04062977464169493,3.2032541155965815
Crazy Pepperoni Schnitzel,3.1296145048650894,22.86516343400379,3.1296145048650894
Healthy Green Fit Schnitzel,2.822634263421069,16.82110357750065,2.822634263421069
Aqua Carpatica Minerala 0.5L,2.6261592985445006,13.820587088902519,2.6261592985445006
Crazy Fries with Cheddar Sauce,-2.5443335983720323,0.07852536397877666,2.5443335983720323
Arugula Salad with Cherry Tomatoes and Parmesan,-2.5097627453878935,0.08128752279293475,2.5097627453878935
Pepsi Zero Can 0.33L,2.3785695268039144,10.789457789514291,2.3785695268039144
Crazy peaches,-2.04312403007723,0.12962313112626722,2.04312403007723
Aqua Carpatica Plata 0.5L,1.9910373011490055,7.323126110982023,1.9910373011490055
Margherita Pizza Schnitzel,1.9667530732502667,7.147431584714294,1.9667530732502667
French fries,1.9434052197305496,6.982487437749151,1.9434052197305496
Mac & cheease,1.9312629861189514,6.898217094542616,1.9312629861189514
Prigat Still Peach Apricot 0.25L,1.8368582503326811,6.276787156798638,1.8368582503326811
Baked potatoes,1.823806671708188,6.195397463054583,1.823806671708188
cart_size,1.8108546148667666,6.115671743517865,1.8108546148667666
Snails with walnuts and meringue,-1.810527998228046,0.16356775051636982,1.810527998228046
Mac & Cheese with Crispy Bacon,-1.7718577594752685,0.17001684485212404,1.7718577594752685
Breaded Pork Schnitzel,-1.5512353211377317,0.2119859412987167,1.5512353211377317
Crazy Fries with Parmesan,-1.5450142826835678,0.21330882457871447,1.5450142826835678
Viennese Schnitzel,1.5209747394581437,4.576684096231759,1.5209747394581437
Chicken Bao Buns,-1.495899858806713,0.2240469034136392,1.495899858806713
Packaging,-1.3941530978960666,0.24804301559052486,1.3941530978960666
Breaded Chicken Schnitzel,-1.3501229229070557,0.2592083960379123,1.3501229229070557
Extra jalapeno,-1.323440227342099,0.2662178747798573,1.323440227342099
Potatoes with Cheddar and Bacon Sauce,-1.18415997154781,0.30600312289341086,1.18415997154781
Pepsi Twist Can 0.33L,-1.102390878071898,0.33207618016067403,1.102390878071898
Crispy Chicken Schnitzel,-1.033454543054483,0.3557757924391502,1.033454543054483
Jalapeno Pizza Schnitzel,0.9984788231889261,2.7141499846049086,0.9984788231889261
Green Fit Schnitzel,-0.7288338372858395,0.48247130219604445,0.7288338372858395
Tagliata Schnitzel,-0.6089912988812833,0.5438992242207207,0.6089912988812833
Extra parmezan,0.5343656966889819,1.7063655455960964,0.5343656966889819
Extra Cheddar Sauce,-0.48871441236751856,0.6134144855718395,0.48871441236751856
Extra bacon,-0.4826250634799911,0.6171611762632262,0.4826250634799911
Mirinda Orange Can 0.33L,0.41843877039719135,1.5195872780621313,0.41843877039719135
Pepsi Cola Can 0.33L,-0.28762581109707114,0.7500421972030571,0.28762581109707114
Lipton Lemon Tea 0.33L,0.28467391071012904,1.3293284776579495,0.28467391071012904
Extra Lamaie,-0.2845667980075239,0.7523400989659035,0.2845667980075239
day_of_week,-0.2527190284441191,0.7766860778645905,0.2527190284441191
Pepsi Twist Zero Can 0.33L,0.23408058005084117,1.2637463208478286,0.23408058005084117
hour,0.18847275584974796,1.2074041878374084,0.18847275584974796
Mac & Cheese with Jalapeno and Tomato Sauce,-0.0672112015909239,0.9349977074786725,0.0672112015909239
is_weekend,0.03707213197100231,1.0377678743806797,0.03707213197100231
